state,calls,cases
Alabama,829,210
Alaska,179,37
Arizona,1537,469
Arkansas,588,144
California,15517,4479
Colorado,1445,384
Connecticut,622,184
Delaware,175,48
Florida,6963,1928
Georgia,2944,856
Hawaii,303,120
Idaho,301,49
Illinois,2700,706
Indiana,1111,293
Iowa,644,173
Kansas,1002,207
Kentucky,1285,289
Louisiana,1601,428
Maine,266,56
Maryland,2533,633
Massachusetts,1355,336
Michigan,2816,715
Minnesota,1099,235
Mississippi,538,171
Missouri,1611,384
Montana,263,66
Nebraska,501,105
Nevada,1155,543
New Hampshire,214,36
New Jersey,2448,703
New Mexico,467,134
New York,4335,1237
North Carolina,2614,609
North Dakota,243,68
Ohio,4346,1052
Oklahoma,1150,298
Oregon,1258,275
Pennsylvania,2585,590
Rhode Island,168,58
South Carolina,1150,262
South Dakota,347,52
Tennessee,1378,359
Texas,9181,2361
Utah,531,105
Vermont,144,24
Virginia,2953,687
Washington,2352,594
West Virginia,193,58
Wisconsin,1035,225
Wyoming,163,35
District of Columbia,1747,360
