Id,GEOID,Geography,Calls_2012,Cases_2012,Est_2012,Calls_2013,Cases_2013,Est_2013,Calls_2014,Cases_2014,Est_2014,Calls_2015,Cases_2015,Est_2015,Calls_2016,Cases_2016,Est_2016
,,Alabama,103,27,4815960,176,44,4829479,169,37,4843214,190,54,4853875,191,48,4863300
0500000US01001,1001,"Autauga County, Alabama",1,0,55027,2,0,54792,2,0,54977,2,1,55035,2,1,55416
0500000US01003,1003,"Baldwin County, Alabama",4,1,190403,7,2,195147,7,2,199745,8,2,203690,8,2,208563
0500000US01005,1005,"Barbour County, Alabama",1,0,27132,1,0,26938,1,0,26763,1,0,26270,1,0,25965
0500000US01007,1007,"Bibb County, Alabama",0,0,22645,1,0,22501,1,0,22511,1,0,22561,1,0,22643
0500000US01009,1009,"Blount County, Alabama",1,0,57772,2,1,57746,2,0,57621,2,1,57676,2,1,57704
0500000US01011,1011,"Bullock County, Alabama",0,0,10654,0,0,10576,0,0,10712,0,0,10455,0,0,10362
0500000US01013,1013,"Butler County, Alabama",0,0,20665,1,0,20330,1,0,20283,1,0,20126,1,0,19998
0500000US01015,1015,"Calhoun County, Alabama",3,1,117208,4,1,116475,4,1,115837,5,1,115285,5,1,114611
0500000US01017,1017,"Chambers County, Alabama",1,0,34084,1,0,34123,1,0,33996,1,0,34043,1,0,33843
0500000US01019,1019,"Cherokee County, Alabama",1,0,26017,1,0,26074,1,0,25944,1,0,25726,1,0,25725
0500000US01021,1021,"Chilton County, Alabama",1,0,43693,2,0,43769,2,0,43874,2,0,43809,2,0,43941
0500000US01023,1023,"Choctaw County, Alabama",0,0,13549,0,0,13384,0,0,13310,1,0,13201,1,0,12993
0500000US01025,1025,"Clarke County, Alabama",1,0,25148,1,0,25105,1,0,24862,1,0,24726,1,0,24392
0500000US01027,1027,"Clay County, Alabama",0,0,13461,0,0,13464,0,0,13503,1,0,13495,1,0,13492
0500000US01029,1029,"Cleburne County, Alabama",0,0,14928,1,0,15031,1,0,15076,1,0,14996,1,0,14924
0500000US01031,1031,"Coffee County, Alabama",1,0,51180,2,0,50729,2,0,50757,2,1,51063,2,1,51226
0500000US01033,1033,"Colbert County, Alabama",1,0,54493,2,0,54456,2,0,54427,2,1,54295,2,1,54216
0500000US01035,1035,"Conecuh County, Alabama",0,0,13007,0,0,12866,0,0,12621,0,0,12597,0,0,12395
0500000US01037,1037,"Coosa County, Alabama",0,0,11201,0,0,11058,0,0,10794,0,0,10687,0,0,10581
0500000US01039,1039,"Covington County, Alabama",1,0,37842,1,0,37890,1,0,37795,1,0,37661,1,0,37458
0500000US01041,1041,"Crenshaw County, Alabama",0,0,13920,1,0,13874,0,0,13898,1,0,13876,1,0,13913
0500000US01043,1043,"Cullman County, Alabama",2,0,80351,3,1,80731,3,1,81167,3,1,81858,3,1,82471
0500000US01045,1045,"Dale County, Alabama",1,0,50296,2,0,49753,2,0,49389,2,1,49370,2,0,49226
0500000US01047,1047,"Dallas County, Alabama",1,0,42748,2,0,41950,1,0,41532,2,0,40893,2,0,40008
0500000US01049,1049,"DeKalb County, Alabama",2,0,70961,3,1,70882,2,1,70947,3,1,70996,3,1,70900
0500000US01051,1051,"Elmore County, Alabama",2,0,80291,3,1,80661,3,1,80794,3,1,81238,3,1,81799
0500000US01053,1053,"Escambia County, Alabama",1,0,38063,1,0,37877,1,0,37878,1,0,37827,1,0,37728
0500000US01055,1055,"Etowah County, Alabama",2,1,104215,4,1,103790,4,1,103371,4,1,102873,4,1,102564
0500000US01057,1057,"Fayette County, Alabama",0,0,16966,1,0,16858,1,0,16821,1,0,16723,1,0,16546
0500000US01059,1059,"Franklin County, Alabama",1,0,31652,1,0,31505,1,0,31540,1,0,31542,1,0,31628
0500000US01061,1061,"Geneva County, Alabama",1,0,27012,1,0,26754,1,0,26688,1,0,26755,1,0,26614
0500000US01063,1063,"Greene County, Alabama",0,0,8837,0,0,8702,0,0,8525,0,0,8450,0,0,8422
0500000US01065,1065,"Hale County, Alabama",0,0,15393,1,0,15293,1,0,15081,1,0,15075,1,0,14952
0500000US01067,1067,"Henry County, Alabama",0,0,17237,1,0,17188,1,0,17156,1,0,17191,1,0,17164
0500000US01069,1069,"Houston County, Alabama",2,1,103382,4,1,103614,4,1,104177,4,1,104225,4,1,104056
0500000US01071,1071,"Jackson County, Alabama",1,0,53087,2,0,52939,2,0,52580,2,1,52298,2,1,52138
0500000US01073,1073,"Jefferson County, Alabama",14,4,657639,24,6,658578,23,5,659733,26,7,660007,26,7,659521
0500000US01075,1075,"Lamar County, Alabama",0,0,14257,1,0,14192,0,0,14062,1,0,13902,1,0,13918
0500000US01077,1077,"Lauderdale County, Alabama",2,1,92694,3,1,92713,3,1,93005,4,1,92477,4,1,92318
0500000US01079,1079,"Lawrence County, Alabama",1,0,33788,1,0,33570,1,0,33432,1,0,33133,1,0,33244
0500000US01081,1081,"Lee County, Alabama",3,1,148289,6,1,151411,5,1,154277,6,2,156767,6,2,158991
0500000US01083,1083,"Limestone County, Alabama",2,0,87368,3,1,88904,3,1,90640,4,1,91622,4,1,92753
0500000US01085,1085,"Lowndes County, Alabama",0,0,10835,0,0,10685,0,0,10524,0,0,10422,0,0,10358
0500000US01087,1087,"Macon County, Alabama",0,0,20632,1,0,20016,1,0,19594,1,0,19215,1,0,18963
0500000US01089,1089,"Madison County, Alabama",7,2,342773,13,3,346704,12,3,350121,14,4,353302,14,4,356967
0500000US01091,1091,"Marengo County, Alabama",0,0,20451,1,0,20208,1,0,20086,1,0,19912,1,0,19673
0500000US01093,1093,"Marion County, Alabama",1,0,30520,1,0,30283,1,0,30250,1,0,30145,1,0,29998
