Year_Date,Calls,Cases_Reported,State,postal
2016,191,48,alabama,AL
2015,190,54,alabama,AL
2014,169,37,alabama,AL
2013,176,44,alabama,AL
2012,103,27,alabama,AL
2016,82,10,alaska,AK
2015,37,8,alaska,AK
2014,18,4,alaska,AK
2013,23,8,alaska,AK
2012,19,7,alaska,AK
2016,457,151,arizona,AZ
2015,356,117,arizona,AZ
2014,288,77,arizona,AZ
2013,258,66,arizona,AZ
2012,178,58,arizona,AZ
2016,137,45,arkansas,AR
2015,109,35,arkansas,AR
2014,102,21,arkansas,AR
2013,170,26,arkansas,AR
2012,70,17,arkansas,AR
2016,4137,1323,california,CA
2015,3626,982,california,CA
2014,3495,912,california,CA
2013,2597,773,california,CA
2012,1662,489,california,CA
2016,391,120,colorado,CO
2015,315,78,colorado,CO
2014,273,67,colorado,CO
2013,301,73,colorado,CO
2012,165,46,colorado,CO
2016,193,54,connecticut,CT
2015,119,39,connecticut,CT
2014,100,35,connecticut,CT
2013,108,29,connecticut,CT
2012,102,27,connecticut,CT
2016,61,21,delaware,DE
2015,28,5,delaware,DE
2014,24,8,delaware,DE
2013,28,9,delaware,DE
2012,34,5,delaware,DE
2016,1623,550,florida,FL
2015,1528,412,florida,FL
2014,1428,364,florida,FL
2013,1501,365,florida,FL
2012,883,237,florida,FL
2016,695,256,georgia,GA
2015,661,193,georgia,GA
2014,626,150,georgia,GA
2013,599,163,georgia,GA
2012,363,94,georgia,GA
2016,60,30,hawaii,HI
2015,68,27,hawaii,HI
2014,56,17,hawaii,HI
2013,76,28,hawaii,HI
2012,43,18,hawaii,HI
2016,67,14,idaho,ID
2015,59,6,idaho,ID
2014,56,10,idaho,ID
2013,80,14,idaho,ID
2012,39,5,idaho,ID
2016,609,198,illinois,IL
2015,555,121,illinois,IL
2014,492,140,illinois,IL
2013,571,142,illinois,IL
2012,473,105,illinois,IL
2016,268,83,indiana,IN
2015,241,53,indiana,IN
2014,186,50,indiana,IN
2013,247,56,indiana,IN
2012,169,51,indiana,IN
2016,202,72,iowa,IA
2015,145,35,iowa,IA
2014,128,24,iowa,IA
2013,106,22,iowa,IA
2012,63,20,iowa,IA
2016,192,51,kansas,KS
2015,128,42,kansas,KS
2014,336,52,kansas,KS
2013,230,35,kansas,KS
2012,116,27,kansas,KS
2016,306,89,kentucky,KY
2015,258,64,kentucky,KY
2014,236,55,kentucky,KY
2013,315,48,kentucky,KY
2012,170,33,kentucky,KY
2016,334,104,louisiana,LA
2015,276,75,louisiana,LA
2014,417,96,louisiana,LA
2013,393,112,louisiana,LA
2012,181,41,louisiana,LA
2016,51,18,maine,ME
2015,59,10,maine,ME
2014,37,11,maine,ME
2013,80,10,maine,ME
2012,39,7,maine,ME
2016,531,158,maryland,MD
2015,455,119,maryland,MD
2014,572,135,maryland,MD
2013,624,138,maryland,MD
2012,351,83,maryland,MD
2016,279,88,massachusetts,MA
2015,258,62,massachusetts,MA
2014,242,54,massachusetts,MA
2013,333,69,massachusetts,MA
2012,243,63,massachusetts,MA
2016,843,246,michigan,MI
2015,717,151,michigan,MI
2014,529,131,michigan,MI
2013,472,118,michigan,MI
2012,255,69,michigan,MI
2016,299,62,minnesota,MN
2015,225,48,minnesota,MN
2014,201,36,minnesota,MN
2013,262,57,minnesota,MN
2012,112,32,minnesota,MN
2016,110,49,mississippi,MS
2015,107,36,mississippi,MS
2014,111,29,mississippi,MS
2013,139,31,mississippi,MS
2012,71,26,mississippi,MS
2016,421,135,missouri,MO
2015,366,69,missouri,MO
2014,290,55,missouri,MO
2013,320,77,missouri,MO
2012,214,48,missouri,MO
2016,52,15,montana,MT
2015,66,19,montana,MT
2014,74,13,montana,MT
2013,41,10,montana,MT
2012,30,9,montana,MT
2016,152,43,nebraska,NE
2015,102,22,nebraska,NE
2014,115,12,nebraska,NE
2013,95,17,nebraska,NE
2012,37,11,nebraska,NE
2016,243,161,nevada,NV
2015,280,137,nevada,NV
2014,275,110,nevada,NV
2013,211,81,nevada,NV
2012,146,54,nevada,NV
2016,61,12,new-hampshire,NH
2015,47,13,new-hampshire,NH
2014,48,6,new-hampshire,NH
2013,36,4,new-hampshire,NH
2012,22,1,new-hampshire,NH
2016,569,193,new-jersey,NJ
2015,539,171,new-jersey,NJ
2014,566,155,new-jersey,NJ
2013,489,111,new-jersey,NJ
2012,285,73,new-jersey,NJ
2016,118,32,new-mexico,NM
2015,90,30,new-mexico,NM
2014,70,28,new-mexico,NM
2013,93,26,new-mexico,NM
2012,96,18,new-mexico,NM
2016,941,327,new-york,NY
2015,942,285,new-york,NY
2014,904,271,new-york,NY
2013,852,193,new-york,NY
2012,696,161,new-york,NY
2016,598,181,north-carolina,NC
2015,466,112,north-carolina,NC
2014,563,118,north-carolina,NC
2013,557,98,north-carolina,NC
2012,430,100,north-carolina,NC
2016,66,17,north-dakota,ND
2015,48,19,north-dakota,ND
2014,47,16,north-dakota,ND
2013,54,10,north-dakota,ND
2012,28,6,north-dakota,ND
2016,1352,375,ohio,OH
2015,1070,289,ohio,OH
2014,809,164,ohio,OH
2013,656,139,ohio,OH
2012,459,85,ohio,OH
2016,263,88,oklahoma,OK
2015,146,43,oklahoma,OK
2014,271,62,oklahoma,OK
2013,262,64,oklahoma,OK
2012,208,41,oklahoma,OK
2016,300,72,oregon,OR
2015,249,57,oregon,OR
2014,289,56,oregon,OR
2013,265,46,oregon,OR
2012,155,44,oregon,OR
2016,575,151,pennsylvania,PA
2015,514,110,pennsylvania,PA
2014,527,113,pennsylvania,PA
2013,593,126,pennsylvania,PA
2012,376,90,pennsylvania,PA
2016,32,9,rhode-island,RI
2015,40,9,rhode-island,RI
2014,28,11,rhode-island,RI
2013,47,16,rhode-island,RI
2012,21,13,rhode-island,RI
2016,259,73,south-carolina,SC
2015,234,61,south-carolina,SC
2014,202,54,south-carolina,SC
2013,249,45,south-carolina,SC
2012,206,29,south-carolina,SC
2016,68,19,south-dakota,SD
2015,64,14,south-dakota,SD
2014,83,8,south-dakota,SD
2013,113,9,south-dakota,SD
2012,19,2,south-dakota,SD
2016,336,108,tennessee,TN
2015,262,68,tennessee,TN
2014,266,73,tennessee,TN
2013,334,61,tennessee,TN
2012,180,49,tennessee,TN
2016,2135,670,texas,TX
2015,1735,436,texas,TX
2014,1876,452,texas,TX
2013,1888,431,texas,TX
2012,1547,372,texas,TX
2016,150,39,utah,UT
2015,101,22,utah,UT
2014,121,22,utah,UT
2013,117,10,utah,UT
2012,42,12,utah,UT
2016,30,5,vermont,VT
2015,28,4,vermont,VT
2014,37,7,vermont,VT
2013,32,5,vermont,VT
2012,17,3,vermont,VT
2016,610,148,virginia,VA
2015,625,145,virginia,VA
2014,663,175,virginia,VA
2013,649,126,virginia,VA
2012,406,93,virginia,VA
2016,553,144,washington,WA
2015,410,112,washington,WA
2014,500,122,washington,WA
2013,551,130,washington,WA
2012,338,86,washington,WA
2016,41,19,west-virginia,WV
2015,48,10,west-virginia,WV
2014,39,9,west-virginia,WV
2013,46,14,west-virginia,WV
2012,19,6,west-virginia,WV
2016,322,63,wisconsin,WI
2015,228,50,wisconsin,WI
2014,189,43,wisconsin,WI
2013,180,42,wisconsin,WI
2012,116,27,wisconsin,WI
2016,44,12,wyoming,WY
2015,33,6,wyoming,WY
2014,27,4,wyoming,WY
2013,47,8,wyoming,WY
2012,12,5,wyoming,WY
2016,347,85,district-columbia,DC
2015,300,68,district-columbia,DC
2014,404,62,district-columbia,DC
2013,337,78,district-columbia,DC
2012,359,67,district-columbia,DC
